2021/01/12 18:40:32 [error] 21#21: *275 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 18:42:38 [error] 21#21: *282 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 18:45:55 [error] 21#21: *289 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 18:46:34 [error] 21#21: *287 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 18:59:06 [error] 21#21: *302 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 19:00:34 [error] 21#21: *302 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getallChID HTTP/1.1", upstream: "http://172.19.0.4:5000/getallChID", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 19:06:10 [error] 21#21: *316 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getallChID HTTP/1.1", upstream: "http://172.19.0.4:5000/getallChID", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 19:20:57 [error] 21#21: *329 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getallChID HTTP/1.1", upstream: "http://172.19.0.4:5000/getallChID", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 19:27:15 [error] 21#21: *337 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 19:37:19 [error] 21#21: *345 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 19:42:23 [error] 21#21: *348 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 19:45:16 [error] 21#21: *355 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 19:57:13 [error] 21#21: *361 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:13:06 [error] 21#21: *366 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getallChID HTTP/1.1", upstream: "http://172.19.0.4:5000/getallChID", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:19:58 [error] 21#21: *376 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getallChID HTTP/1.1", upstream: "http://172.19.0.4:5000/getallChID", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:21:58 [error] 21#21: *383 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:23:26 [error] 21#21: *390 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:25:11 [error] 21#21: *390 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getallChID HTTP/1.1", upstream: "http://172.19.0.4:5000/getallChID", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:26:22 [error] 21#21: *403 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:27:57 [error] 21#21: *403 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:46:05 [error] 21#21: *414 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getallChID HTTP/1.1", upstream: "http://172.19.0.4:5000/getallChID", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:50:20 [error] 21#21: *421 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 20:51:03 [error] 21#21: *423 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 21:45:34 [error] 21#21: *434 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424 HTTP/1.1", upstream: "http://172.19.0.4:5000/getmapMarkers?latitude=25.021644799999997&&longtitude=121.5463424", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
2021/01/12 22:21:25 [error] 21#21: *439 connect() failed (113: No route to host) while connecting to upstream, client: 220.129.6.133, server: reverse.proxy, request: "GET /bikeapi/getallChID HTTP/1.1", upstream: "http://172.19.0.4:5000/getallChID", host: "140.112.28.115:8800", referrer: "http://140.112.28.115:3000/"
